profile_name,drug,drug_id,gene,gene_id,user_phenotype,status,risk_level,risk_score,effect_direction,risk_meaning,plain_language,guideline_sources,guideline_annotation_ids,guideline_summary,evidence_strength,evidence_count
CYP2C19 poor metabolizer profili,clopidogrel,PA449053,CYP2C19,PA124,poor,risk_flag,high,3,decreased_activation,reduced_response_attention,CYP2C19 aktivitesi düşük olduğunda clopidogrel aktif metabolite daha az dönüşebilir; bu durum antiplatelet yanıtın azalması açısından dikkat gerektirir.,AHA; CPIC; DPWG,PA166104948; PA166342701; PA166104956,"The CPIC Dosing Guideline for clopidogrel recommends an alternative antiplatelet therapy for CYP2C19 poor or intermediate metabolizers (cardiovascular indications: prasugrel or ticagrelor if no contraindication; neurovascular indications: alternative P2Y12 inhibitor if clinically indicated and no contraindication.) | The American Heart Association has a statement of CYP2C19 and clopidogrel and testing before oral P2Y12 inhibitors are prescribed in patients with acute coronary syndromes or percutaneous coronary intervention. | Avoid clopidogrel use in patients who are CYP2C19 poor metabolizers and are undergoing percutaneous coronary intervention, stroke or TIA. For CYP2C19 intermediate metabolizers who are undergoing percutaneous coronary intervention, stroke, or TIA, choose an alternative drug or double the dose to 150 mg/day (600 mg loading dose). No action is required for patients who are CYP2C19 ultra-rapid metabolizers.",high_guideline_supported,5
CYP2C19 poor metabolizer profili,voriconazole,PA10233,CYP2C19,PA124,poor,risk_flag,high,3,decreased_clearance,increased_exposure_attention,CYP2C19 aktivitesi düşük olduğunda voriconazole metabolizması azalabilir; maruziyet artışı açısından dikkat gerekir.,AusNZ; CPIC; DPWG,PA166161537; PA166257241; PA166104990,"The CPIC dosing guideline for voriconazole recommends selecting an alternative agent that is not dependent on CYP2C19 metabolism in adults who are CYP2C19 ultrarapid metabolizers, rapid metabolizers or poor metabolizers. In pediatric patients, an alternative agent should be used in patients who are ultrarapid metabolizers or poor metabolizers. In pediatric rapid metabolizers, therapy should be initiated at recommended standard case dosing, then therapeutic dosing monitoring should be used to tit... | An alternative antifungal agent should be considered instead of voriconazole in patients who are known to be CYP2C19 ultrarapid metabolizers. CYP2C19 genotyping and use of an alternative antifungal agent is also recommended in patients with subtherapeutic voriconazole serum concentrations despite two dose adjustments. | Patients who are CYP2C19 poor metabolizers should receive 50% of the standard dose, and CYP2C19 ultrarapid metabolizers should receive a 1.5 times higher initial dose. Monitor voriconazole plasma concentrations for CYP2C19 poor, intermediate and ultrarapid metabolizers.",high_guideline_supported,5
CYP2C19 poor metabolizer profili,voriconazole,PA10233,CYP3A4,PA130,normal,gene_drug_known_no_profile_match,none,0,,,voriconazole için CYP3A4 ilişkisi veri setinde var; ancak normal fenotipi için MVP kuralı uyarı üretmedi.,,,,,0
CYP2C19 poor metabolizer profili,codeine,PA449088,CYP2D6,PA128,normal,gene_drug_known_no_profile_match,none,0,,,codeine için CYP2D6 ilişkisi veri setinde var; ancak normal fenotipi için MVP kuralı uyarı üretmedi.,CPIC; CPNDS; DPWG,PA166104996; PA166122666; PA166104970,"In the CPIC Dosing Guideline, alternate non-tramadol analgesics are recommended for CYP2D6 ultrarapid and poor metabolizers. A label recommended age- or weight-specific dose of codeine is warranted for CYP2D6 normal and intermediate metabolizers. | The Canadian Pharmacogenomics Network for Drug Safety (CPNDS) clinical recommendation group has published guidelines for the use of CYP2D6 genotype when prescribing codeine. They recommend that poor metabolizers of CYP2D6 should not receive codeine for pain relief, and ultrametabolizers of CYP2D6 should avoid codeine for pain relief. | The Pharmacogenetics Working Group Guideline for codeine includes individual recommendations for cough or pain for CYP2D6 poor, intermediate, and ultrarapid metabolizer. In addition, for ultrarapid metabolizer, higher or lower doses and additional risk factors are taken into consideration.",,0
CYP2C19 poor metabolizer profili,warfarin,PA451906,CYP2C9,PA126,normal,gene_drug_known_no_profile_match,none,0,,,warfarin için CYP2C9 ilişkisi veri setinde var; ancak normal fenotipi için MVP kuralı uyarı üretmedi.,CPIC; CPNDS; DPWG,PA166104949; PA166170752; PA166182842,"The updated guideline for pharmacogenetics-guided warfarin dosing is published by the Clinical Pharmacogenetics Implementation Consortium. The recommendations for dosing are for adult and pediatric patients that are specific to continental ancestry, and are based on genotypes from CYP2C9, VKORC1, CYP4F2, and rs12777823. | The Canadian Pharmacogenomics Network for Drug Safety (CPNDS) clinical recommendation group has published guidelines for the use of pharmacogenetic testing for variants in VKORC1 and CYP2C9 in adult and pediatric patients with an indication for warfarin. They recommend testing for the VKORC1 SNP -1639G>A (rs9923231) and the CYP2C9 alleles *2 and *3 in order to better guide warfarin dosage. | Reduce warfarin dose in CYP2C9 poor and intermediate metabolizers (PM and IM) and patients with CYP2C9*1/*3, *2/*3, *2/*2 or *3/*3 genotype. The genotype-specific initial dose and maintenance dose can be calculated using an algorithm, as used in EU-PACT.",,0
CYP2C19 poor metabolizer profili,amitriptyline,PA448385,CYP1A2,PA27093,normal,gene_drug_known_no_profile_match,none,0,,,amitriptyline için CYP1A2 ilişkisi veri setinde var; ancak normal fenotipi için MVP kuralı uyarı üretmedi.,,,,,0
CYP2C19 poor metabolizer profili,amitriptyline,PA448385,CYP2C19,PA124,poor,risk_flag,medium,2,altered_metabolism,exposure_change_attention,CYP2C19 fenotipi amitriptyline metabolizmasını etkileyebilir; maruziyet değişimi açısından farmakogenetik dikkat bayrağı üretilebilir.,CPIC; DPWG,PA166105006; PA166184526,"The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered. CPIC has updated the CYP2D6 genotype-phenotype translation in all supplemental files since the guideline was published. | There are currently no dosing recommendations for amitriptyline based on CYP2C19 genotype.",high_guideline_supported,2
CYP2C19 poor metabolizer profili,amitriptyline,PA448385,CYP2D6,PA128,normal,gene_drug_known_no_profile_match,none,0,,,amitriptyline için CYP2D6 ilişkisi veri setinde var; ancak normal fenotipi için MVP kuralı uyarı üretmedi.,CPIC; DPWG,PA166105006; PA166104982,"The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered. CPIC has updated the CYP2D6 genotype-phenotype translation in all supplemental files since the guideline was published. | The Dutch Pharmacogenetics Working Group Guideline for amitriptyline recommends decreasing the dose for CYP2D6 intermediate and CYP2D6 poor metabolizers and increasing the dose or using an alternative drug for CYP2D6 ultra-rapid metabolizers.",,0
