pair_key,gene,gene_id,drug,drug_id,annotation_id,objCls,name,source,source_container,recommendation,dosingInformation,alternateDrugAvailable,hasTestingInfo,pediatric,otherPrescribingGuidance,summary,text_excerpt,literature_titles,pmids,dois,years,evidence_tier,usable_for_mvp
CYP2D6::nortriptyline,CYP2D6,PA128,nortriptyline,PA450657,PA166104961,Guideline Annotation,Annotation of DPWG Guideline for nortriptyline and CYP2D6,DPWG,data/guidelineAnnotation,True,True,True,True,False,True,"The Dutch Pharmacogenetics Working Group Guideline for nortriptyline recommends a dose reduction for CYP2D6 poor or intermediate metabolizer patients. For CYP2D6 ultrarapid metabolizers, select an alternative drug or use 1.7 times the standard dose. Monitoring of nortriptyline and 10-hydroxynortriptyline plasma concentrations is recommended.",November 2025 Update The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group ( DPWG ) released an updated version of the Pharmacogenetic_recommendation_text dated with 20240501. It includes changes to the wording for the CYP2D6-nortriptyline guidelines which are dated within the document as 08-02-2024. The Table below is updated accordantly. November 2018 Update The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group has evaluated therapeutic dose recommendations for nortriptyline based on CYP2D6 genotype. They recommend a dose increase or use of an alternative antidepressant in CYP2D6 ultrarapid metabolizers (UMs) and a dose reduction in CYP2D6 poor metabolizers (PMs). Monitoring of nortriptyline and Z-10-hydroxynortriptyline plasma concentrations is also recommended. Wording in table taken from the Dutch guidelines November 2018 update and updated based on Pharmacogenetic_recommendation_text accessed 11112025 . Allele/Genotype/Phenotype Drug Description Recommendation CYP2D6 UM nortriptyline The risk of ineffectiveness and cardiotoxic effects may be increased. The gene variation leads to a decrease in the plasma concentration of nortriptyline and an increase in the plasma concentration of the cardiotoxic metabolite Z-10-hydroxynortriptyline. Use 1.7 times the standard dose and monitor the effect and side effects or the plasma concentration of nortriptyline and be alert to an increase in the plasma concentration of the cardiotoxic metabolite...,Pharmacogenetics: from bench to byte--an update of guidelines. | Dutch Pharmacogenetics Working Group Guidelines August 2019 | Dutch Pharmacogenetics Working Group Guidelines November 2018 | Dutch Pharmacogenetics Working Group Guidelines November 2025,21412232,10.1038/clpt.2011.34,,high_guideline,yes
CYP2D6::nortriptyline,CYP2D6,PA128,nortriptyline,PA450657,PA166104998,Guideline Annotation,Annotation of CPIC Guideline for nortriptyline and CYP2D6,CPIC,data/guidelineAnnotation,True,True,True,False,True,False,"The CPIC Dosing Guideline update for nortriptyline recommends a 25% dose reduction for CYP2D6 intermediate metabolizers. For CYP2D6 ultrarapid or poor metabolizers, an alternative drug should be considered. If nortriptyline is warranted, consider a 50% dose reduction in CYP2D6 poor metabolizers. CPIC has updated the CYP2D6 genotype-phenotype translation in all supplemental files since the guideline was published.","October 2019 Update CYP2D6 genotype to phenotype translation changes : Up until August 2019, there were a few inconsistencies in the translation of CYP2D6 genotype to phenotype translation across guidelines (i.e. CPIC and DPWG) and between clinical genetic testing laboratories. CPIC recently conducted a modified-Delphi project to obtain consensus for a uniform system for translating CYP2D6 genotype to phenotype among a panel of international CYP2D6 experts more information . Modifications to CPIC’s prior system include downgrading the value assigned to the CYP2D6*10 allele for activity score calculation from 0.5 to 0.25 and changing the phenotype assignment for an activity score of 1 from normal metabolizer to intermediate metabolizer ( table of all previous and new phenotype groupings ). As a result, the following changes have been made in the CYP2D6 allele functionality table and the CYP2D6 genotype to phenotype table (access tables below): Diplotypes giving rise to activity scores of 1 changed from CYP2D6 normal metabolizer to CYP2D6 intermediate metabolizer assignments. Impact on the recommendations in this guideline: The recommendation for CYP2D6 IM (reduce starting dose by 25%) should be considered for CYP2D6 AS of 1 (strength of recommendation: optional). The authors of this guideline are in the process of updating this guideline to reflect this change and evaluate new evidence since the publication of this guideline. All activity scores for diplotypes containing a CYP...",Clinical pharmacogenetics implementation consortium guideline (CPIC) for CYP2D6 and CYP2C19 genotypes and dosing of tricyclic antidepressants: 2016 update. | Clinical Pharmacogenetics Implementation Consortium guideline for CYP2D6 and CYP2C19 genotypes and dosing of tricyclic antidepressants.,27997040; 23486447,10.1002/cpt.597; 10.1038/clpt.2013.2,,high_guideline,yes
CYP2C19::pantoprazole,CYP2C19,PA124,pantoprazole,PA450774,PA166104958,Guideline Annotation,Annotation of DPWG Guideline for pantoprazole and CYP2C19,DPWG,data/guidelineAnnotation,True,True,False,True,False,True,"For CYP2C19 ultrarapid metabolizers who are undergoing H. pylori eradication therapy, use a 5-fold higher dose. For CYP2C19 ultrarapid metabolizers with other indications, be alert to reduced effectiveness and, if necessary, use a 5-fold higher dose.","February 2026 Update The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group ( DPWG ) released an updated version of the Pharmacogenetic_recommendation_text dated with 20241201. It includes changes to the wording for the CYP2C19-lansoprazole guidelines which are dated within the document as 10-9-2024. There are minor wording updates for CYP2C19 UM, which are updated accordantly in the table below. November 2018 Update The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group has evaluated therapeutic dose recommendations for pantoprazole based on CYP2C19 genotype. Patients who are CYP2C19 ultrarapid metabolizers who are undergoing H. pylori eradication therapy should receive a 5-fold higher dose. In CYP2C19 ultrarapid metabolizer patients with other indications, be alert to reduced effectiveness, and, if necessary, use a 5-fold higher dose. Patients should be advised to report persisting symptoms of dyspepsia. Wording in table taken from the Dutch guidelines November 2018 update . Allele/Genotype/Phenotype Drug Description Recommendation CYP2C19 PM pantoprazole NO action is required for this gene-drug interaction. The higher plasma concentration of pantoprazole results in an increase in the therapeutic effectiveness, without an increase in the side effects. CYP2C19 IM pantoprazole NO action is required for this gene-drug interaction. The higher plasma concentration of pantoprazole results in an increase in the therapeutic effectiveness, without...",Pharmacogenetics: from bench to byte--an update of guidelines. | Dutch Pharmacogenetics Working Group Guidelines August 2019 | Dutch Pharmacogenetics Working Group Guidelines February 2026 | Dutch Pharmacogenetics Working Group Guidelines November 2018,21412232,10.1038/clpt.2011.34,,high_guideline,yes
CYP2C19::pantoprazole,CYP2C19,PA124,pantoprazole,PA450774,PA166219103,Guideline Annotation,"Annotation of CPIC Guideline for lansoprazole, omeprazole, pantoprazole and CYP2C19",CPIC,data/guidelineAnnotation,True,True,False,False,True,False,"The CPIC Dosing Guideline for omeprazole, lansoprazole, pantoprazole recommends to increase the starting daily dose and to monitor efficacy in CYP2C19 ultrarapid metabolizer. For CYP2C19 rapid and normal metabolizers, a dose increase might be considered for the treatment of H. pylori infection and erosive esophagitis. The recommendations for intermediate and poor metabolizer for chronic therapy (&gt;12 weeks) and efficacy achieved is to consider 50% reduction in daily dose. See full guideline for further details and supporting evidence.","August 2020 Advance online publication August 2020. The CPIC Guideline for CYP2C19 and Proton Pump Inhibitor Dosing is published in Clinical Pharmacology and Therapeutics . These guidelines are applicable to: pediatric patients adult patients Excerpts from the 2020 Proton Pump Inhibitor Dosing dosing guideline: &quot; CYP2C19 genotypes have been linked to PPI exposure, with lower exposure associated with treatment failure and higher exposure associated with improved efficacy. Higher exposure of PPIs has also been associated with adverse effects, as has long-term use.&quot; &quot;The RM and UM phenotypes are driven by the presence of the increased function CYP2C19*17 allele. Due to the relatively recent discovery of this variant and because the majority of studies describing associations between CYP2C19 genotype, pharmacokinetics, and pharmacodynamics of PPIs were conducted in Asian populations in whom the CYP2C19*17 allele occurs less frequently, there are limited data on the relationship between CYP2C19*17, pharmacokinetic parameters, acid secretion indices and therapeutic outcomes in CYP2C19 RMs and UMs.&quot; &quot;Nevertheless, the low PPI exposure documented in patients who are CYP2C19 UMs compared to NMs, IMs, and PMs suggests that these individuals may benefit from higher than standard daily doses of PPIs (Tables S1-S3).&quot; &quot; While CYP2C19 NMs are expected to have normal PPI metabolism and clearance, a large body of literature from studies in Asian populations ...",Clinical Pharmacogenetics Implementation Consortium (CPIC) Guideline for CYP2C19 and Proton Pump Inhibitor Dosing.,32770672,10.1002/cpt.2015,,high_guideline,yes
CYP2C19::prasugrel,CYP2C19,PA124,prasugrel,PA154410481,PA166182820,Guideline Annotation,Annotation of DPWG Guideline for prasugrel and CYP2C19,DPWG,data/guidelineAnnotation,False,False,False,False,False,False,There are currently no dosing recommendations for prasugrel based on CYP2C19 genotypes.,"November 2018 Guideline The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group has evaluated therapeutic dose recommendations for prasugrel based on CYP2C19 genotypes. They conclude that there is not a gene-drug interaction. See the Dutch guidelines November 2018 update . Read for more information about this recommendation , Read about gene information from DPWG",Dutch Pharmacogenetics Working Group Guidelines August 2019 | Dutch Pharmacogenetics Working Group Guidelines November 2018,,,,high_guideline,yes
CYP2C19::ticagrelor,CYP2C19,PA124,ticagrelor,PA165374673,PA166182807,Guideline Annotation,Annotation of DPWG Guideline for ticagrelor and CYP2C19,DPWG,data/guidelineAnnotation,False,False,False,False,False,False,There are currently no dosing recommendations for ticagrelor based on CYP2C19 genotypes.,"November 2018 Guideline The Royal Dutch Pharmacists Association - Pharmacogenetics Working Group has evaluated therapeutic dose recommendations for ticagrelor based on CYP2C19 genotypes. They conclude that there is not a gene-drug interaction. See the Dutch guidelines November 2018 update . Read for more information about this recommendation , Read about gene information from DPWG",Dutch Pharmacogenetics Working Group Guidelines August 2019 | Dutch Pharmacogenetics Working Group Guidelines November 2018,,,,high_guideline,yes
